Date,Name,Year,Letterboxd URI,Rating
2022-05-05,Searching,2018,https://boxd.it/hDPg,4.5
2022-05-05,The Clovehitch Killer,2018,https://boxd.it/jRjM,3.5
2022-05-05,Diary of a Mad Black Woman,2005,https://boxd.it/1KDE,2.5
2022-05-05,Prayers for the Stolen,2021,https://boxd.it/oZhu,3
2022-05-05,In the Mood for Love,2000,https://boxd.it/29tE,3
2022-05-05,Minari,2020,https://boxd.it/mL9M,3
2022-05-05,Kimi,2022,https://boxd.it/u7LW,3
2022-05-05,The House of the Spirits,1993,https://boxd.it/274i,3.5
2022-05-05,In Fabric,2018,https://boxd.it/h2sY,1.5
2022-05-05,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,3
2022-05-05,Yesterday There Were Strange Things in the Sky,2020,https://boxd.it/jRlo,1.5
2022-05-05,Sunstrokes,2014,https://boxd.it/95ou,2.5
2022-05-05,Barb & Star Go to Vista Del Mar,2021,https://boxd.it/lX9M,2.5
2022-05-05,Lower City,2005,https://boxd.it/208M,3
2022-05-05,Mango Yellow,2002,https://boxd.it/2O12,2.5
2022-05-05,The Batman,2022,https://boxd.it/eDGs,4
2022-05-05,Little Book of Love,1997,https://boxd.it/6pxg,2.5
2022-05-05,Invisible Life,2019,https://boxd.it/k1JU,3.5
2022-05-05,Aquarius,2016,https://boxd.it/d6YQ,3.5
2022-05-05,"Basic Sanitation, the Movie",2007,https://boxd.it/1oC,5
2022-05-05,Legally Blonde,2001,https://boxd.it/1ZNa,4.5
2022-05-05,Scream,1996,https://boxd.it/24EC,5
2022-05-05,The Firm,1993,https://boxd.it/18JY,3
2022-05-05,The Vagina Monologues,2002,https://boxd.it/19qS,3.5
2022-05-05,Stolen Dreams,2009,https://boxd.it/Qbk,3.5
2022-05-05,Mary Shelley,2017,https://boxd.it/aW9u,4
2022-05-05,Drained,2006,https://boxd.it/10LM,2.5
2022-05-05,Macabre,2019,https://boxd.it/nEXs,3
2022-05-05,Villains,2019,https://boxd.it/isnC,4.5
2022-05-05,Barren Lives,1963,https://boxd.it/29uM,2
2022-05-05,I See You,2019,https://boxd.it/j2CS,3
2022-05-05,Drive My Car,2021,https://boxd.it/sv94,3.5
2022-05-05,Final Destination,2000,https://boxd.it/1YrC,2
2022-05-05,The King of Comedy,1982,https://boxd.it/2aJS,3
2022-05-05,"São Paulo, Incorporated",1965,https://boxd.it/2BaA,3.5
2022-05-05,Scream 2,1997,https://boxd.it/24Es,5
2022-05-05,Scream 3,2000,https://boxd.it/24Ei,4
2022-05-05,Scream 4,2011,https://boxd.it/Zmc,3
2022-05-05,Rosemary's Baby,1968,https://boxd.it/29zM,4
2022-05-05,Bingo: The King of the Mornings,2017,https://boxd.it/fcGs,4.5
2022-05-05,White Oleander,2002,https://boxd.it/1UUg,1.5
2022-05-05,Fargo,1996,https://boxd.it/2aHM,4
2022-05-05,Ghostland,2018,https://boxd.it/h5Uw,4.5
2022-05-05,The Graduate,1967,https://boxd.it/18Im,3
2022-05-05,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,3
2022-05-05,Two Rabbits,2012,https://boxd.it/3vdK,2
2022-05-05,Metal Lords,2022,https://boxd.it/rLTA,3
2022-05-05,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,2
2022-05-05,All the King's Men,2006,https://boxd.it/28f2,1.5
2022-05-05,Ron's Gone Wrong,2021,https://boxd.it/hlj2,5
2022-05-06,Sound of Metal,2019,https://boxd.it/i7Q4,4.5
2022-05-06,Molly's Game,2017,https://boxd.it/dSl8,3
2022-05-06,30 Minutes or Less,2011,https://boxd.it/bRa,4
2022-05-06,The Art of Self-Defense,2019,https://boxd.it/hf5y,4
2022-05-06,Private Desert,2021,https://boxd.it/wkT4,3
2022-05-08,The House That Jack Built,2018,https://boxd.it/dWO4,3
2022-05-08,Annihilation,2018,https://boxd.it/9yzm,2.5
2022-05-09,The Game,1997,https://boxd.it/26vC,2
2022-05-09,Most Likely to Murder,2018,https://boxd.it/icaC,3
2022-05-10,Sisters,2015,https://boxd.it/7X7I,3.5
2022-05-11,Curiosa,2019,https://boxd.it/hyho,2.5
2022-05-12,The Master,2012,https://boxd.it/2cBG,3.5
2022-05-13,Misbehaviour,2020,https://boxd.it/kPkU,3
2022-05-14,Misery,1990,https://boxd.it/28gY,4
2022-05-16,The Forty-Year-Old Version,2020,https://boxd.it/mYXq,3.5
2022-05-17,Bus 174,2002,https://boxd.it/209q,3.5
2022-05-18,Shiva Baby,2020,https://boxd.it/oIv0,3.5
2022-05-19,Water Lilies,2007,https://boxd.it/1VjK,3
2022-05-20,Scent of a Woman,1992,https://boxd.it/1YAu,4
2022-05-23,Buffaloed,2019,https://boxd.it/jY24,2.5
2022-05-24,Reprise,2006,https://boxd.it/1Sji,3.5
2022-05-25,Volver,2006,https://boxd.it/2aQO,3.5
2022-05-26,Mysterious Skin,2004,https://boxd.it/1UsG,3
2022-05-27,Blue Velvet,1986,https://boxd.it/29BI,3.5
2022-05-28,Old,2021,https://boxd.it/npKI,3.5
2022-05-29,Horse Girl,2020,https://boxd.it/oioi,3
2022-05-29,She Dies Tomorrow,2020,https://boxd.it/oIuG,2
